id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
1411,Bence Demeter,HUN,male,3/20/1990,1.8,72,modern pentathlon,0,0,0,0,1990,26
1412,Bence Pulai,HUN,male,10/27/1991,1.93,89,aquatics,0,0,0,0,1991,25
1413,Bence Venyercsan,HUN,male,1/8/1996,1.73,56,athletics,0,0,0,0,1996,20
1414,Bendeguz Petervari-Molnar,HUN,male,3/14/1993,1.9,95,rowing,0,0,0,0,1993,23
1415,Benedek Olah,FIN,male,3/29/1991,1.91,87,table tennis,0,0,0,0,1991,25
1416,Benik Abrahamyan,GEO,male,7/31/1985,1.86,115,athletics,0,0,0,0,1985,31
1417,Benjamin Auffret,FRA,male,3/15/1995,1.66,54,aquatics,0,0,0,0,1995,21
1418,Benjamin Ceiner,HUN,male,4/24/1992,1.97,94,canoe,0,0,0,0,1992,24
1419,Benjamin Compaore,FRA,male,8/5/1987,1.89,83,athletics,0,0,0,0,1987,29
1420,Benjamin Didier Hennequin,FRA,male,8/24/1984,1.74,84,weightlifting,0,0,0,0,1984,32
1421,Benjamin Enzema,GEQ,male,3/25/1989,1.7,63,athletics,0,0,0,0,1989,27
1422,Benjamin Errol Provisor,USA,male,6/26/1990,1.73,88,wrestling,0,0,0,0,1990,26
1423,Benjamin Fletcher,GBR,male,3/13/1992,1.85,100,judo,0,0,0,0,1992,24
1424,Benjamin Gischard,SUI,male,11/17/1995,1.62,62,gymnastics,0,0,0,0,1995,21
1425,Benjamin Gratz,HUN,male,2/16/1996,1.85,76,aquatics,0,0,0,0,1996,20
1426,Benjamin Grez Ahrens,CHI,male,12/3/1992,1.81,76,sailing,0,0,0,0,1992,24
1427,Benjamin Hallock,USA,male,11/22/1997,1.99,108,aquatics,0,0,0,0,1997,19
1428,Benjamin Hockin Brusquetti,PAR,male,9/27/1986,1.95,90,aquatics,0,0,0,0,1986,30
1429,Benjamin Kiplagat,UGA,male,3/4/1989,1.905,88,athletics,0,0,0,0,1989,27
1430,Benjamin Lang,FRA,male,2/4/1987,1.86,86,rowing,0,0,0,0,1987,29
1431,Benjamin Martin,CAN,male,4/18/1987,1.82,75,hockey,0,0,0,0,1987,29
1432,Benjamin Savsek,SLO,male,3/24/1987,1.77,74,canoe,0,0,0,0,1987,29
1433,Benjamin Schulte,GUM,male,12/22/1995,1.93,83,aquatics,0,0,0,0,1995,21
1434,Benjamin Steffen,SUI,male,3/8/1982,1.89,78,fencing,0,0,0,0,1982,34
1435,Benjamin Thorne,CAN,male,3/19/1993,1.8,56,athletics,0,0,0,0,1993,23
1436,Benjamin Toniutti,FRA,male,10/30/1989,1.83,73,volleyball,0,0,0,0,1989,27
1437,Benjamin Vadnai,HUN,male,12/30/1995,1.83,82,sailing,0,0,0,0,1995,21
1438,Benjamin Waterhouse,ASA,male,6/11/1985,1.72,71,judo,0,0,0,0,1985,31
1439,Benn Harradine,AUS,male,10/14/1982,1.98,115,athletics,0,0,0,0,1982,34
1440,Benny Muziyo Muziyo,ZAM,male,11/8/1992,1.96,97.5,boxing,0,0,0,0,1992,24
1441,Benoit Paire,FRA,male,5/8/1989,1.94,80,tennis,0,0,0,0,1989,27
1442,Benson Gicharu Njangiru,KEN,male,5/3/1985,1.68,70,boxing,0,0,0,0,1985,31
1443,Benson Kiplagat Seurei,BRN,male,3/27/1984,1.75,60,athletics,0,0,0,0,1984,32
1444,Berik Abdrakhmanov,KAZ,male,6/20/1986,1.65,65,boxing,0,0,0,0,1986,30
1445,Bernadette Graf,AUT,female,6/25/1992,1.75,70,judo,0,0,0,0,1992,24
1446,Bernadette Pujals,MEX,female,6/8/1968,1.58,55,equestrian,0,0,0,0,1968,48
1447,Bernadette Szocs,ROU,female,3/5/1995,1.59,48,table tennis,0,0,0,0,1995,21
1448,Bernard Lagat,USA,male,12/12/1974,1.73,58,athletics,0,0,0,0,1974,42
1449,Bernardin Ledoux Kingue Matam,FRA,male,5/20/1990,1.63,69,weightlifting,0,0,0,0,1990,26
1450,Bernardo Baloyes,COL,male,1/6/1994,1.68,66,athletics,0,0,0,0,1994,22
1451,Bernardo Guerrero Diaz,CHI,male,6/10/1986,1.9,75,rowing,0,0,0,0,1986,30
1452,Bernardo Oliveira,BRA,male,6/8/1993,1.73,70,archery,0,0,0,0,1993,23
1453,Bernardo Oneto Gomes,BRA,male,11/12/1993,1.88,90,aquatics,0,0,0,0,1993,23
1454,Bernardo Rocha,BRA,male,7/3/1989,1.81,95,aquatics,0,0,0,0,1989,27
1455,Bernd Wiesberger,AUT,male,10/8/1985,1.89,89,golf,0,0,0,0,1985,31
1456,Bernhard Sieber,AUT,male,8/6/1990,1.8,72,rowing,0,0,0,0,1990,26
1457,Berta Betanzos Moro,ESP,female,1/15/1988,1.79,71,sailing,0,0,0,0,1988,28
1458,Berta Bonastre,ESP,female,6/3/1992,1.57,50,hockey,0,0,0,0,1992,24
1459,Berta Garcia,ESP,female,4/12/1982,1.73,73,rugby sevens,0,0,0,0,1982,34
1460,Berthrade Simone Flore Bikatal,CMR,female,7/23/1992,1.83,76,volleyball,0,0,0,0,1992,24
1461,Bertrand Roine,QAT,male,2/17/1981,1.98,99,handball,0,0,0,0,1981,35
1462,Beryl Gastaldello,FRA,female,2/16/1995,1.76,66,aquatics,0,0,0,0,1995,21
1463,Beslan Mudranov,RUS,male,7/7/1986,1.66,60,judo,1,0,0,1,1986,30
1464,Besu Sado,ETH,female,6/12/1996,1.72,56,athletics,0,0,0,0,1996,20
1465,Beth Potter,GBR,female,12/27/1991,1.7,51,athletics,0,0,0,0,1991,25
1466,Bethanie Mattek-Sands,USA,female,3/23/1985,1.68,65,tennis,1,0,0,1,1985,31
1467,Betlhem Desalegn,UAE,female,11/11/1991,1.6,55,athletics,0,0,0,0,1991,25
1468,Betsy Hassett,NZL,female,8/4/1990,1.58,56,football,0,0,0,0,1990,26
1469,Betsy Saina,KEN,female,6/30/1988,1.52,47,athletics,0,0,0,0,1988,28
1470,Betty Heidler,GER,female,10/14/1983,1.75,85,athletics,0,0,0,0,1983,33
1471,Betzabeth Angelica Arguello Villegas,VEN,female,1/28/1991,1.64,53,wrestling,0,0,0,0,1991,25
1472,Beverly Ramos,PUR,female,8/24/1987,1.68,52,athletics,0,0,0,0,1987,29
1473,Bianca Farella,CAN,female,4/10/1992,1.73,73,rugby sevens,0,0,1,1,1992,24
1474,Bianca Hammett,AUS,female,9/12/1990,1.72,55,aquatics,0,0,0,0,1990,26
1475,Bianca Razor,ROU,female,8/8/1994,1.7,59,athletics,0,0,0,0,1994,22
1476,Bianca Stuart,BAH,female,5/17/1988,1.76,66.5,athletics,0,0,0,0,1988,28
1477,Bianca Walkden,GBR,female,9/29/1991,1.82,74,taekwondo,0,0,1,1,1991,25
1478,Bianca Williams,GBR,female,12/18/1993,1.69,56,athletics,0,0,0,0,1993,23
1479,Bianka Busa,SRB,female,7/25/1994,1.87,74,volleyball,0,1,0,1,1994,22
1480,Biao Chai,CHN,male,10/10/1990,1.86,80,badminton,0,0,0,0,1990,26
1481,Bibiro Ali Taher,CHA,female,4/24/1988,1.6,44,athletics,0,0,0,0,1988,28
1482,Biko Adema,KEN,male,9/1/1987,1.77,85,rugby sevens,0,0,0,0,1987,29
1483,Bilal Tabti,ALG,male,6/7/1993,1.75,62,athletics,0,0,0,0,1993,23
1484,Bilel Mhamdi,TUN,male,1/27/1992,1.76,62.5,boxing,0,0,0,0,1992,24
1485,Biljana Pavicevic,MNE,female,5/12/1988,1.69,63,handball,0,0,0,0,1988,28
1486,Billy Bakker,NED,male,11/23/1988,1.88,82,hockey,0,0,0,0,1988,28
1487,Billy Besson,FRA,male,3/8/1981,1.69,69,sailing,0,0,0,0,1981,35
1488,Billy Odhiambo,KEN,male,11/7/1993,1.84,95,rugby sevens,0,0,0,0,1993,23
1489,Billy Scott Irakoze,BDI,male,10/30/1996,1.96,74,aquatics,0,0,0,0,1996,20
1490,Bilyal Makhov,RUS,male,9/20/1987,2,125,wrestling,0,0,0,0,1987,29
1491,Bin Dong,CHN,male,11/22/1988,1.8,74,athletics,0,0,1,1,1988,28
1492,Bin Feng,CHN,female,4/3/1994,1.84,95,athletics,0,0,0,0,1994,22
1493,Bin Lv,CHN,male,10/18/1994,1.65,87.5,boxing,0,0,0,0,1994,22
1494,Bin Yang,CHN,male,7/10/1989,1.8,80,wrestling,0,0,0,0,1989,27
1495,Binbin Zhang,CHN,female,2/23/1989,1.64,55,shooting,0,1,0,1,1989,27
1496,Bingtian Su,CHN,male,8/29/1989,1.73,70,athletics,0,0,0,0,1989,27
1497,Bintou Dieme,SEN,female,2/1/1984,1.67,58,basketball,0,0,0,0,1984,32
1498,Binyuan Hu,CHN,male,11/7/1977,1.8,75,shooting,0,0,0,0,1977,39
1499,Birgit Koschischek,AUT,female,5/22/1987,1.69,61,aquatics,0,0,0,0,1987,29
1500,Birgit Michels,GER,female,9/28/1984,1.78,70,badminton,0,0,0,0,1984,32
1501,Birhanu Balew,BRN,male,2/27/1996,1.765,65,athletics,0,0,0,0,1996,20
1502,Birsel Vardarli Demirmen,TUR,female,7/12/1984,1.75,60,basketball,0,0,0,0,1984,32
1503,Birzhan Zhakypov,KAZ,male,7/7/1984,1.63,75.5,boxing,0,0,0,0,1984,32
1504,Bjorn Hornikel,GER,male,5/6/1992,1.92,91,aquatics,0,0,0,0,1992,24
1505,Bjorn van den Ende,NED,male,1/10/1986,1.9,70,rowing,0,0,0,0,1986,30
1506,Blabjerg Mathiasen,DEN,male,1/11/1995,1.85,78,football,0,0,0,0,1995,21
1507,Blai Mallarach Guell,ESP,male,8/21/1987,1.87,87,aquatics,0,0,0,0,1987,29
1508,Blair Cameron Bann,CAN,male,2/26/1988,1.84,84,volleyball,0,0,0,0,1988,28
1509,Blair Evans,AUS,female,4/3/1991,1.75,65,aquatics,0,0,0,0,1991,25
1510,Blair Hilton,NZL,male,8/28/1989,1.81,78,hockey,0,0,0,0,1989,27
1511,Blair Tarrant,NZL,male,5/11/1990,1.85,83,hockey,0,0,0,0,1990,26
1512,Blair Tuke,NZL,male,7/25/1989,1.81,78,sailing,1,0,0,1,1989,27
1513,Blake Blackburn,AUS,male,8/3/1992,1.81,82,shooting,0,0,0,0,1992,24
1514,Blake Gaudry,AUS,male,11/29/1991,1.79,72,gymnastics,0,0,0,0,1991,25
1515,Blake Govers,AUS,male,7/6/1996,1.87,85,hockey,0,0,0,0,1996,20
1516,Blake Pieroni,USA,male,11/15/1995,1.88,86,aquatics,1,0,0,1,1995,21
1517,Blandine Dancette,FRA,female,2/14/1988,1.69,60,handball,0,0,0,0,1988,28
1518,Blanka Vlasic,CRO,female,11/8/1983,1.93,71,athletics,0,0,1,1,1983,33
1519,Blaz Blagotinsek,SLO,male,1/17/1994,2.02,108,handball,0,0,0,0,1994,22
1520,Blaz Janc,SLO,male,11/20/1996,1.86,88,handball,0,0,0,0,1996,20
1521,Blessing Oborududu,NGR,female,3/12/1989,1.63,63,wrestling,0,0,0,0,1989,27
1522,Blessing Okagbare,NGR,female,10/9/1988,1.81,71,athletics,0,0,0,0,1988,28
1523,Bo Qiu,CHN,male,1/31/1993,1.65,62,aquatics,0,0,0,0,1993,23
1524,Boaz Meylink,NED,male,3/22/1984,1.95,93,rowing,0,0,1,1,1984,32
1525,Bob de Voogd,NED,male,9/16/1988,1.83,80,hockey,0,0,0,0,1988,28
1526,Bobae Ki,KOR,female,2/20/1988,1.67,57,archery,1,0,1,2,1988,28
1527,Bobana Velickovic,SRB,female,1/25/1990,1.7,59,shooting,0,0,0,0,1990,26
1528,Bobby Lea,USA,male,10/17/1983,1.88,77,cycling,0,0,0,0,1983,33
1529,Bobur Shokirjonov,UZB,male,12/5/1990,1.95,105,athletics,0,0,0,0,1990,26
1530,Bode Abiodun,NGR,male,9/10/1980,1.7,68,table tennis,0,0,0,0,1980,36
1531,Bodi Turner,AUS,male,9/18/1994,1.8,81,cycling,0,0,0,0,1994,22
1532,Bodin Isara,THA,male,12/12/1990,1.75,78,badminton,0,0,0,0,1990,26
1533,Bodo Essissima Madeleine Samantha,CMR,female,4/29/1992,1.82,75,volleyball,0,0,0,0,1992,24
1534,Boe Warawara,VAN,male,1/26/1995,1.895,87,boxing,0,0,0,0,1995,21
1535,Bogdan Bogdanovic,SRB,male,8/18/1992,1.97,99,basketball,0,1,0,1,1992,24
1536,Bogdan Nikishin,UKR,male,5/29/1980,1.88,85,fencing,0,0,0,0,1980,36
1537,Boglarka Kapas,HUN,female,4/22/1993,1.68,54,aquatics,0,0,1,1,1993,23
1538,Bogna Jozwiak,POL,female,4/25/1983,1.82,80,fencing,0,0,0,0,1983,33
1539,Bohdan Bondarenko,UKR,male,8/30/1989,1.98,77,athletics,0,0,1,1,1989,27
1540,Boitumelo Masilo,BOT,male,8/5/1995,1.99,90,athletics,0,0,0,0,1995,21
1541,Bojan Bogdanovic,CRO,male,4/18/1989,2,103,basketball,0,0,0,0,1989,27
1542,Bojan Tokic,SLO,male,1/13/1981,1.78,76,table tennis,0,0,0,0,1981,35
1543,Bojana Popovic,MNE,female,11/20/1979,1.88,86,handball,0,0,0,0,1979,37
1544,Bojana Zivkovic,SRB,female,3/29/1988,1.86,72,volleyball,0,1,0,1,1988,28
1545,Bokai Huang,CHN,male,9/26/1996,1.9,78,athletics,0,0,0,0,1996,20
1546,Bokyeong Jeong,KOR,female,4/17/1991,1.53,51,judo,0,1,0,1,1991,25
1547,Bombayla Devi Laishram,IND,female,2/22/1985,1.64,60,archery,0,0,0,0,1985,31
1548,Bomi Kim,KOR,female,10/7/1985,1.57,54,hockey,0,0,0,0,1985,31
1549,Bonchan Ku,KOR,male,1/31/1993,1.81,84,archery,2,0,0,2,1993,23
1550,Bongil Gu,KOR,male,4/27/1989,1.82,70,fencing,0,0,0,0,1989,27
1551,Boniface Mucheru Tumuti,KEN,male,5/2/1992,1.75,72,athletics,0,1,0,1,1992,24
1552,Boonsak Ponsana,THA,male,2/22/1982,1.79,75,badminton,0,0,0,0,1982,34
1553,Boonthung Srisung,THA,male,5/30/1981,1.71,59,athletics,0,0,0,0,1981,35
1554,Bora Gulari,USA,male,10/22/1975,1.81,74,sailing,0,0,0,0,1975,41
1555,Boris Balaz,SVK,male,11/20/1997,1.82,72,archery,0,0,0,0,1997,19
1556,Boris Berian,USA,male,12/19/1992,1.83,69,athletics,0,0,0,0,1992,24
1557,Boris Diaw,FRA,male,4/16/1982,2.03,115,basketball,0,0,0,0,1982,34
1558,Boris Kirillov,AZE,male,8/4/1992,1.81,75,aquatics,0,0,0,0,1992,24
1559,Boris Yotov,AZE,male,2/25/1996,1.93,93,rowing,0,0,0,0,1996,20
1560,Borislav Stefanov Novachkov,BUL,male,11/29/1989,1.7,71,wrestling,0,0,0,0,1989,27
1561,Borja Carrascosa,ESP,male,2/5/1982,1.82,71,equestrian,0,0,0,0,1982,34
1562,Borja Fernandez,QAT,male,12/25/1981,2.06,110,handball,0,0,0,0,1981,35
1563,Borja Vivas,ESP,male,5/26/1984,2.04,139,athletics,0,0,0,0,1984,32
1564,Borna Coric,CRO,male,11/14/1996,1.85,78,tennis,0,0,0,0,1996,20
1565,Borys Shvets,UKR,male,8/20/1991,1.75,65,sailing,0,0,0,0,1991,25
1566,Bosco Perez-Pla,ESP,male,9/26/1987,1.8,78,hockey,0,0,0,0,1987,29
1567,Bostjan Macek,SLO,male,6/17/1972,1.74,118,shooting,0,0,0,0,1972,44
1568,Bouchra Fatima Zohra Hirech,ALG,female,8/22/2000,1.7,80,weightlifting,0,0,0,0,2000,16
1569,Boudewijn Roell,NED,male,5/12/1989,1.95,100,rowing,0,0,1,1,1989,27
1570,Bourhan Abro,DJI,male,5/30/1995,1.8,70,aquatics,0,0,0,0,1995,21
1571,Boyd Martin,USA,male,8/20/1979,1.88,79,equestrian,0,0,0,0,1979,37
1572,Bozo Starcevic,CRO,male,12/11/1988,1.72,78,wrestling,0,0,0,0,1988,28
1573,Bradlee Ashby,NZL,male,11/23/1995,2,92,aquatics,0,0,0,0,1995,21
1574,Bradley Adkins,USA,male,12/30/1993,1.89,79,athletics,0,0,0,0,1993,23
1575,Bradley Edward Tandy,RSA,male,5/2/1991,1.58,86,aquatics,0,0,0,0,1991,25
1576,Bradley Shaw,NZL,male,2/13/1983,1.81,92,hockey,0,0,0,0,1983,33
1577,Bradley Vincent,MRI,male,11/30/1991,1.95,89,aquatics,0,0,0,0,1991,25
1578,Bradley Wiggins,GBR,male,4/28/1980,1.9,82,cycling,1,0,0,1,1980,36
1579,Brady Ellison,USA,male,10/27/1988,1.81,86,archery,0,1,1,2,1988,28
1580,Brahim Kaazouzi,MAR,male,6/15/1990,1.79,62,athletics,0,0,0,0,1990,26
1581,Braian Toledo,ARG,male,9/8/1993,1.87,100,athletics,0,0,0,0,1993,23
1582,Bralon Taplin,GRN,male,5/8/1992,1.755,78,athletics,0,0,0,0,1992,24
1583,Branca Feres,BRA,female,2/22/1988,1.64,56,aquatics,0,0,0,0,1988,28
1584,Brandon Jones,BIZ,male,7/19/1987,1.99,86,athletics,0,0,0,0,1987,29
1585,Brandon McBride,CAN,male,6/15/1994,1.93,74,athletics,0,0,0,0,1994,22
1586,Brandon Schuster,SAM,male,4/23/1998,1.88,75,aquatics,0,0,0,0,1998,18
1587,Brandon Starc,AUS,male,11/24/1993,1.88,71,athletics,0,0,0,0,1993,23
1588,Brandon Stone,RSA,male,4/20/1993,1.8,65,golf,0,0,0,0,1993,23
1589,Brandon Valentine-Parris,VIN,male,4/17/1995,1.73,55,athletics,0,0,0,0,1995,21
1590,Brandonn Almeida,BRA,male,3/16/1997,1.86,73,aquatics,0,0,0,0,1997,19
1591,Branislav Mitrovic,SRB,male,1/30/1985,2.01,100,aquatics,1,0,0,1,1985,31
1592,Brankica Mihajlovic,SRB,female,4/13/1991,1.9,83,volleyball,0,1,0,1,1991,25
1593,Brave Lifa,MAW,male,9/5/1995,1.75,70,aquatics,0,0,0,0,1995,21
1594,Brayan Garcia,HON,male,5/26/1993,1.75,69,football,0,0,0,0,1993,23
1595,Brayan Ramirez,HON,male,6/16/1994,1.77,66,football,0,0,0,0,1994,22
1596,Breanna Stewart,USA,female,8/27/1994,1.93,79,basketball,1,0,0,1,1994,22
1597,Bredni Roque Mendoza,MEX,male,11/11/1987,1.6,69,weightlifting,0,0,0,0,1987,29
1598,Breege Connolly,IRL,female,2/1/1978,1.63,54,athletics,0,0,0,0,1978,38
1599,Brenda Bowskill,CAN,female,4/21/1992,1.7,68,sailing,0,0,0,0,1992,24
1600,Brenda Flores,MEX,female,9/4/1991,1.63,50,athletics,0,0,0,0,1991,25
1601,Brenda Martinez,USA,female,9/8/1987,1.71,56,athletics,0,0,0,0,1987,29
1602,Brenda Rojas,ARG,female,10/15/1995,1.66,64,canoe,0,0,0,0,1995,21
1603,Brenda Yamyleth Bailey Gomez,HON,female,9/11/1994,1.59,55,wrestling,0,0,0,0,1994,22
1604,Brendan Boyce,IRL,male,10/8/1986,1.83,76,athletics,0,0,0,0,1986,30
1605,Brendan Emmet Irvine,IRL,male,5/17/1996,1.67,74,boxing,0,0,0,0,1996,20
1606,Brendan Hodge,CAN,male,12/31/1984,1.8,72,rowing,0,0,0,0,1984,32
1607,Brenden Bissett,CAN,male,1/28/1993,1.78,73,hockey,0,0,0,0,1993,23
1608,Brendon Reading,AUS,male,1/26/1989,1.83,62,athletics,0,0,0,0,1989,27
1609,Brendon Rodney,CAN,male,4/9/1992,1.95,80,athletics,0,0,1,1,1992,24
1610,Brenessa Thompson,GUY,female,7/22/1996,1.63,62,athletics,0,0,0,0,1996,20
1611,Brent Bookwalter,USA,male,2/16/1984,1.81,68,cycling,0,0,0,0,1984,32
1612,Bret Bonanni,USA,male,1/20/1994,1.94,92,aquatics,0,0,0,0,1994,22
1613,Brett Robinson,AUS,male,5/8/1991,1.76,60,athletics,0,0,0,0,1991,25
1614,Brian Afanador,PUR,male,3/6/1997,1.75,68,table tennis,0,0,0,0,1997,19
1615,Brian Babilonia,PUR,male,9/16/1994,1.8,66,cycling,0,0,0,0,1994,22
1616,Brian Baker,USA,male,4/30/1985,1.91,77,tennis,0,0,0,0,1985,31
1617,Brian Pintado,ECU,male,7/29/1995,1.68,57,athletics,0,0,0,0,1995,21
1618,Brian Rosso,ARG,male,8/16/1987,1.84,84,rowing,0,0,0,0,1987,29
1619,Briana Provancha,USA,female,4/25/1989,1.71,66,sailing,0,0,0,0,1989,27
1620,Brianna Rollins,USA,female,8/18/1991,1.66,58,athletics,1,0,0,1,1991,25
1621,Brianna Throssell,AUS,female,2/10/1996,1.75,61,aquatics,0,0,0,0,1996,20
1622,Brianne Theisen Eaton,CAN,female,12/18/1988,1.75,64,athletics,0,0,1,1,1988,28
1623,Brice Etes,MON,male,4/11/1984,1.85,73,athletics,0,0,0,0,1984,32
1624,Brice Leverdez,FRA,male,4/9/1986,1.8,75,badminton,0,0,0,0,1986,30
1625,Bridgitte Ellen Hartley,RSA,female,7/14/1983,1.74,65,canoe,0,0,0,0,1983,33
1626,Brigita Virbalyte-Dimsiene,LTU,female,2/1/1985,1.63,48,athletics,0,0,0,0,1985,31
1627,Brigitte Merlano,COL,female,4/29/1982,1.74,65,athletics,0,0,0,0,1982,34
1628,Brigitte Ntiamoah,FRA,female,3/5/1994,1.72,66,athletics,0,0,0,0,1994,22
1629,Brijesh Lawrence,SKN,male,12/27/1989,1.8,93,athletics,0,0,0,0,1989,27
1630,Briken Calja,ALB,male,2/19/1990,1.7,69,weightlifting,0,0,0,0,1990,26
1631,Brimin Kiprop Kipruto,KEN,male,7/31/1985,1.75,55,athletics,0,0,0,0,1985,31
1632,Brinn Bevan,GBR,male,6/16/1997,1.65,62,gymnastics,0,0,0,0,1997,19
1633,Britt Eerland,NED,female,2/22/1994,1.68,62,table tennis,0,0,0,0,1994,22
1634,Britta Buthe,GER,female,5/25/1988,1.86,78,volleyball,0,0,0,0,1988,28
1635,Brittany Benn,CAN,female,4/23/1989,1.65,68,rugby sevens,0,0,1,1,1989,27
1636,Brittany Borman,USA,female,7/1/1989,1.83,77,athletics,0,0,0,0,1989,27
1637,Brittany Crew,CAN,female,3/6/1994,1.78,112,athletics,0,0,0,0,1994,22
1638,Brittany Elmslie,AUS,female,6/19/1994,1.8,69,aquatics,1,1,0,2,1994,22
1639,Brittany Maclean,CAN,female,3/3/1994,1.68,59,aquatics,0,0,1,1,1994,22
1640,Brittany O'Brien,AUS,female,5/27/1998,1.68,55,aquatics,0,0,0,0,1998,18
1641,Brittany Rogers,CAN,female,6/8/1993,1.65,60,gymnastics,0,0,0,0,1993,23
1642,Brittney Griner,USA,female,10/18/1990,2.03,94,basketball,1,0,0,1,1990,26
1643,Brittney Reese,USA,female,9/9/1986,1.73,61,athletics,0,1,0,1,1986,30
1644,Brock Motum,AUS,male,10/16/1990,2.08,107,basketball,0,0,0,0,1990,26
1645,Bronte Barratt,AUS,female,2/8/1989,1.71,58,aquatics,0,1,0,1,1989,27
1646,Bronte Campbell,AUS,female,5/14/1994,1.79,58,aquatics,1,0,0,1,1994,22
1647,Bronwen Knox,AUS,female,4/16/1986,1.82,88,aquatics,0,0,0,0,1986,30
1648,Brook Robertson,NZL,male,2/19/1994,1.94,95,rowing,0,0,0,0,1994,22
1649,Brooke Crain,USA,female,4/29/1993,1.63,55,cycling,0,0,0,0,1993,23
1650,Brooke Henderson,CAN,female,9/10/1997,1.63,50,golf,0,0,0,0,1997,19
1651,Brooke Neal,NZL,female,7/4/1992,1.87,71,hockey,0,0,0,0,1992,24
1652,Brooke Peris,AUS,female,1/16/1993,1.72,57,hockey,0,0,0,0,1993,23
1653,Brooke Stratton,AUS,female,7/12/1993,1.725,63,athletics,0,0,0,0,1993,23
1654,Brooke Sweat,USA,female,3/27/1986,1.73,69,volleyball,0,0,0,0,1986,30
1655,Bruna,BRA,female,10/16/1985,1.78,65,football,0,0,0,0,1985,31
1656,Bruna Farias,BRA,female,5/19/1992,1.56,51,athletics,0,0,0,0,1992,24
1657,Bruna Takahashi,BRA,female,7/19/2000,1.7,54,table tennis,0,0,0,0,2000,16
1658,Bruno Bethlem,BRA,male,10/22/1975,1.81,72,sailing,0,0,0,0,1975,41
1659,Bruno Fernandes,POR,male,9/8/1994,1.82,80,football,0,0,0,0,1994,22
1660,Bruno Fratus,BRA,male,6/30/1989,1.87,80,aquatics,0,0,0,0,1989,27
1661,Bruno Hortelano,ESP,male,9/18/1991,1.8,70,athletics,0,0,0,0,1991,25
1662,Bruno Lima,ARG,male,2/4/1996,1.98,87,volleyball,0,0,0,0,1996,20
1663,Bruno Mendonca,BRA,male,1/7/1984,1.83,93,hockey,0,0,0,0,1984,32
1664,Bruno Mossa Rezende,BRA,male,7/2/1986,1.9,76,volleyball,1,0,0,1,1986,30
1665,Bruno Ortiz Canavate Ozeki,ESP,male,2/15/1993,1.94,88,aquatics,0,0,0,0,1993,23
1666,Bruno Oscar Schmidt,BRA,male,10/6/1986,1.85,85,volleyball,1,0,0,1,1986,30
1667,Bruno Paes,BRA,male,6/24/1993,1.77,76,hockey,0,0,0,0,1993,23
1668,Bruno Passaro,ARG,male,2/10/1989,1.75,72,equestrian,0,0,0,0,1989,27
1669,Bruno Soares,BRA,male,2/27/1982,1.8,75,tennis,0,0,0,0,1982,34
1670,Bruno Varela,POR,male,11/4/1994,1.9,80,football,0,0,0,0,1994,22
1671,Bruno de Barros,BRA,male,1/7/1987,1.82,85,athletics,0,0,0,0,1987,29
1672,Bryan Acosta,HON,male,11/24/1993,1.75,74,football,0,0,0,0,1993,23
1673,Bryan Gabriel Sola Zambrano,ECU,male,4/3/1992,1.78,75,rowing,0,0,0,0,1992,24
1674,Bryan Keane,IRL,male,8/20/1980,1.75,65,triathlon,0,0,0,0,1980,36
1675,Bryden Nicholas,COK,male,3/10/1989,1.7,70,canoe,0,0,0,0,1989,27
1676,Bryony Page,GBR,female,12/10/1990,1.72,62,gymnastics,0,1,0,1,1990,26
1677,Bryony Shaw,GBR,female,4/28/1983,1.66,60,sailing,0,0,0,0,1983,33
1678,Bubba Watson,USA,male,11/5/1978,1.91,81,golf,0,0,0,0,1978,38
1679,Buly da Conceicao Triste,STP,male,7/4/1991,1.64,58,canoe,0,0,0,0,1991,25
1680,Bunturabie Jalloh,SLE,female,5/10/1998,1.775,79,aquatics,0,0,0,0,1998,18
1681,Burkheart Ellis Jr,BAR,male,9/18/1992,1.91,85,athletics,0,0,0,0,1992,24
1682,Buse Tosun,TUR,female,12/5/1995,1.73,69,wrestling,0,0,0,0,1995,21
1683,Bush Mwale,KEN,male,11/14/1993,1.85,92,rugby sevens,0,0,0,0,1993,23
1684,Busra Katipoglu,TUR,female,1/17/1992,1.65,63,judo,0,0,0,0,1992,24
1685,Byambajav Tseveenravdan,MGL,male,7/7/1990,1.69,58,athletics,0,0,0,0,1990,26
1686,Byeonghun An,KOR,male,9/17/1991,1.87,87,golf,0,0,0,0,1991,25
1687,Byeongkwang Choe,KOR,male,4/7/1991,1.85,73,athletics,0,0,0,0,1991,25
1688,Byron Robinson,USA,male,5/10/1995,1.76,74,athletics,0,0,0,0,1995,21
1689,C.T. Pan,TPE,male,11/12/1991,1.68,65,golf,0,0,0,0,1991,25
1690,Caba Siladji,SRB,male,8/23/1990,1.85,77,aquatics,0,0,0,0,1990,26
1691,Caeleb Dressel,USA,male,8/16/1996,1.91,86,aquatics,2,0,0,2,1996,20
1692,Cagla Buyukakcay,TUR,female,9/28/1989,1.72,58,tennis,0,0,0,0,1989,27
1693,Caia van Maasakker,NED,female,4/5/1989,1.8,69,hockey,0,1,0,1,1989,27
1694,Caileigh Filmer,CAN,female,12/18/1996,1.69,76,rowing,0,0,0,0,1996,20
